tv,emisora,mdp_6_meses,fondos_que_lo_tienen,clase_propuesta,nombre_del_etf
1ISP,JVAL,7.0,1,,
1ISP,XMMO,7.0,1,,
1ISP,XAR,7.0,1,,
1ISP,USMV,7.0,4,,
1ISP,DXJ,7.0,3,,
1ISP,DIA,7.0,1,,
1ISP,REUSE,6.0,1,,
1ISP,VHT,6.0,1,,
1ISP,QGRW,3.0,2,,
1ISP,AIA,2.0,1,,
1ISP,HIDD,2.0,7,,
1ISP,VNQI,2.0,3,,
1ISP,IEO,2.0,1,,
1ISP,VYMI,1.0,2,,
1ISP,EEMV,1.0,1,,
1ISP,VIGI,1.0,2,,
1ISP,VHYD,1.0,2,,
1ISP,ACWV,1.0,1,,
1ISP,COLO1,1.0,1,,
1ISP,SPDW,0.0,1,,
1ISP,VSGX,0.0,1,,
1ISP,DOG,0.0,5,,
1ISP,ERUS,0.0,1,,
1ISP,NOBL,0.0,2,,
